freq,couple12,couple21,hDenom,gNa,version_datetime

4000,0.9,0.3,7.7,674.573,2022-02-1521:09:16
4000,0.5,0.3,7.7,1898.15,2022-02-1521:09:16
4000,0.9,0.9,7.7,3015.02,2022-02-1521:09:16
4000,0.5,0.5,7.7,3377.38,2022-02-1521:09:16
4000,0.3,0.3,7.7,4304.32,2022-02-1521:09:16
4000,0.2,0.1,7.7,2584.36,2022-02-2019:28:50
4000,0.2,0.2,7.7,5173.11,2022-02-2019:28:50
4000,0.1,0.1,7.7,6686.8,2022-02-2019:28:50
4000,0.4,0.1,7.7,894.652,2022-02-2019:28:50
4000,0.4,0.2,7.7,1789.73,2022-02-2019:28:50
4000,0.3,0.2,7.7,2829.15,2022-02-2019:28:50
4000,0.5,0.1,7.7,615.513,2022-02-2019:28:50
4000,0.4,0.3,7.7,2738.12,2022-02-2019:28:50
4000,0.5,0.2,7.7,1232.92,2022-02-2019:28:50
4000,0.6,0.1,7.7,448.027,2022-02-2019:28:50
4000,0.4,0.4,7.7,3740.12,2022-02-2019:28:50
4000,0.5,0.4,7.7,2610.23,2022-02-2019:28:50
4000,0.6,0.2,7.7,898.174,2022-02-2019:28:50
4000,0.6,0.3,7.7,1389.57,2022-02-2019:28:50
4000,0.6,0.4,7.7,1925.77,2022-02-2019:28:50
4000,0.7,0.1,7.7,339.309,2022-02-2019:28:50
4000,0.6,0.5,7.7,2510.05,2022-02-2019:28:50
4000,0.7,0.2,7.7,681.006,2022-02-2019:28:50
4000,0.7,0.3,7.7,1059.26,2022-02-2019:28:50
4000,0.6,0.6,7.7,3145.4,2022-02-2019:28:50
4000,0.7,0.4,7.7,1479.47,2022-02-2019:28:50
4000,0.7,0.5,7.7,1943.54,2022-02-2019:28:50
4000,0.8,0.1,7.7,265.344,2022-02-2019:28:50
4000,0.7,0.6,7.7,2462.68,2022-02-2019:28:50
4000,0.8,0.2,7.7,532.727,2022-02-2019:28:50
4000,0.8,0.3,7.7,834.875,2022-02-2019:28:50
4000,0.7,0.7,7.7,3031.52,2022-02-2019:28:50
4000,0.8,0.4,7.7,1174.58,2022-02-2019:28:50
4000,0.8,0.5,7.7,1559.65,2022-02-2019:28:50
4000,0.8,0.6,7.7,1994.15,2022-02-2019:28:50
4000,0.9,0.1,7.7,212.952,2022-02-2019:28:50
4000,0.8,0.7,7.7,2478.18,2022-02-2019:28:50
4000,0.9,0.2,7.7,427.745,2022-02-2019:28:50
4000,0.8,0.8,7.7,3011.36,2022-02-2019:28:50
4000,0.9,0.4,7.7,958.166,2022-02-2019:28:50
4000,0.9,0.5,7.7,1285.78,2022-02-2019:28:50
4000,0.9,0.6,7.7,1657.88,2022-02-2019:28:50
4000,0.9,0.7,7.7,2083.7,2022-02-2019:28:50
4000,0.9,0.8,7.7,2536.63,2022-02-2019:28:50
4000,0.3,0.1,7.7,1419.33,2022-02-2114:54:24
4000,0.9,0.5,5,1521.72,2022-02-2222:01:48
4000,0.9,0.5,9,1240.31,2022-02-2222:01:48
4000,0.9,0.5,3,1837.63,2022-02-2222:01:48
4000,0.2,0.1,3,2191.06,2022-03-0519:43:12
4000,0.9,0.8,9,2439.62,2022-02-2617:09:55
4000,0.9,0.7,3,3164.86,2022-02-2617:09:55
4000,0.9,0.7,9,1997.94,2022-02-2617:09:55
4000,0.9,0.6,9,1599.63,2022-02-2617:09:55
4000,0.9,0.4,3,1339.46,2022-02-2617:09:55
4000,0.9,0.4,9,921.954,2022-02-2617:09:55
4000,0.9,0.6,3,2436.18,2022-02-2617:09:55
4000,0.9,0.2,9,411.346,2022-02-2617:09:55
4000,0.9,0.1,9,204.571,2022-02-2617:09:55
4000,0.8,0.7,3,3393.3,2022-02-2617:09:55
4000,0.8,0.8,9,2941.39,2022-02-2617:09:55
4000,0.8,0.8,3,4255.99,2022-02-2617:09:55
4000,0.8,0.6,9,1952.86,2022-02-2617:09:55
4000,0.8,0.6,3,2662.19,2022-02-2617:09:55
4000,0.8,0.7,9,2431.91,2022-02-2617:09:55
4000,0.8,0.5,9,1522.54,2022-02-2617:09:55
4000,0.8,0.5,3,2036.85,2022-02-2617:09:55
4000,0.8,0.4,3,1507.25,2022-02-2617:09:55
4000,0.8,0.4,9,1142.51,2022-02-2617:09:55
4000,0.8,0.3,9,810.821,2022-02-2617:09:55
4000,0.8,0.2,9,517.841,2022-02-2617:09:55
4000,0.8,0.1,9,257.783,2022-02-2617:09:55
4000,0.7,0.6,3,2992.12,2022-02-2617:09:55
4000,0.7,0.7,3,3765.89,2022-02-2617:09:55
4000,0.7,0.5,3,2326.11,2022-02-2617:09:55
4000,0.7,0.6,9,2437.13,2022-02-2617:09:55
4000,0.7,0.5,9,1922.6,2022-02-2617:09:55
4000,0.7,0.4,3,1749.52,2022-02-2617:09:55
4000,0.7,0.4,9,1455.12,2022-02-2617:09:55
4000,0.7,0.3,3,1242.71,2022-02-2617:09:55
4000,0.7,0.3,9,1040.07,2022-02-2617:09:55
4000,0.7,0.7,9,3017.5,2022-02-2617:09:55
4000,0.7,0.2,9,668.353,2022-02-2617:09:55
4000,0.7,0.1,9,333.249,2022-02-2617:09:55
